dataset,fold,axis,n_students,n_bins,min_bin_size,max_bin_size,edges
ednet,2,ability_rasch,937,4,234,235,-4.13451;-0.490801;0.0665617;0.660747;3.98628
ednet,2,history,937,4,176,308,3;7;14;40;8913
ednet,2,rt,937,4,229,239,1000;19066.5;23000;29142.9;102571
ednet,3,ability_raw,937,4,227,247,0;0.375;0.5;0.656174;1
ednet,3,ability_rasch,937,4,234,235,-4.13451;-0.490801;0.0665617;0.660747;3.98628
ednet,3,history,937,4,176,308,3;7;14;40;8913
ednet,3,rt,937,4,229,239,1000;19066.5;23000;29142.9;102571
ednet,4,ability_raw,937,4,227,247,0;0.375;0.5;0.656174;1
ednet,4,ability_rasch,937,4,234,235,-4.13451;-0.490801;0.0665617;0.660747;3.98628
ednet,4,history,937,4,176,308,3;7;14;40;8913
ednet,4,rt,937,4,229,239,1000;19066.5;23000;29142.9;102571
